gaia_source_id,hyg_id,constellation
6.003848475722971e+18,117923,Phe
2.0472463311792937e+18,117948,And
5.408437915390487e+18,117887,Phe
6.680789369430729e+18,117944,Scl
4.1503534837458273e+18,117879,Cet
4.464097065099816e+18,117861,Peg
5.781898069238866e+18,117877,Tuc
5.833500142852785e+18,117878,Tuc
1.872318772831341e+18,117929,And
4.464192104136233e+18,117861,Peg
2.0650860447622477e+18,117901,And
6.680703465787784e+18,117944,Scl
2.021654987567124e+18,117899,Peg
5.833480763958467e+18,117878,Tuc
6.003855794347089e+18,117923,Phe
4.1503370941251466e+18,117879,Cet
2.021650044097941e+18,117899,Peg
6.680594343555709e+18,117923,Phe
6.680736627232323e+18,117944,Scl
6.680786620651661e+18,117944,Scl
6.680793183361589e+18,117944,Scl
6.680705737827314e+18,117944,Scl
4.4641234190191165e+18,117861,Peg
5.781859448892541e+18,117877,Tuc
4.1503544801791575e+18,117879,Cet
1.8723260914558874e+18,117929,And
4.4640313306233303e+18,117861,Peg
6.680584654109491e+18,117923,Phe
6.680736799031014e+18,117944,Scl
6.68075394024342e+18,117944,Scl
6.680788819674916e+18,117944,Scl
5.833506293246185e+18,117878,Tuc
4.4640613653314785e+18,117861,Peg
5.833509901019316e+18,117878,Tuc
5.833501757760541e+18,117878,Tuc
5.408447158160135e+18,117887,Phe
5.781851236914812e+18,117877,Tuc
2.0216663649682683e+18,117899,Peg
2.0472431013638876e+18,117948,And
4.464175916402695e+18,117861,Peg
5.408447158160135e+18,117887,Phe
6.680588158802805e+18,117923,Phe
4.464192722611522e+18,117861,Peg
6.680692092714372e+18,117923,Phe
6.680784215469974e+18,117944,Scl
2.0650860791219896e+18,117901,And
2.0650958372882186e+18,117901,And
5.781880958088716e+18,117877,Tuc
5.78183481295949e+18,117877,Tuc
6.680681063238359e+18,117923,Phe
6.680674053851733e+18,117923,Phe
2.0472146171395446e+18,117948,And
2.0472280861574024e+18,117948,And
5.408437090756765e+18,117887,Phe
4.150357911813798e+18,117879,Cet
4.150355609711327e+18,117879,Cet
1.8723054068932465e+18,117929,And
5.833505567331305e+18,117878,Tuc
2.047220453982271e+18,117948,And
5.408451178249297e+18,117887,Phe
5.408436884598334e+18,117887,Phe
1.8723303821171005e+18,117929,And
6.003851602459009e+18,117923,Phe
5.833489044656039e+18,117878,Tuc
4.1503761268144507e+18,117879,Cet
4.1503531014504264e+18,117879,Cet
1.872300081133013e+18,117929,And
1.872295373848721e+18,117929,And
5.800597600955856e+18,117954,Tuc
2.0650883125049818e+18,117901,And
6.680765382037116e+18,117944,Scl
6.680739616529318e+18,117944,Scl
6.725819627667774e+18,117944,Scl
6.680751157104612e+18,117944,Scl
5.836233047771582e+18,117881,Phe
6.680786689371139e+18,117944,Scl
4.464022263949415e+18,117861,Peg
6.680644680572432e+18,117923,Phe
6.680674367386146e+18,117923,Phe
5.78187961805892e+18,117877,Tuc
4.4640099631628846e+18,117950,Peg
4.4640222639494144e+18,117950,Peg
6.680711437247082e+18,117944,Scl
6.680585272584778e+18,117923,Phe
5.78188930750553e+18,117877,Tuc
4.464149635499437e+18,117861,Peg
4.464059887862748e+18,117861,Peg
6.680786620651661e+18,117944,Scl
6.680798951502157e+18,117944,Scl
5.781895079941578e+18,117877,Tuc
4.4640223670286305e+18,117861,Peg
6.725816054254621e+18,117944,Scl
6.680735596440175e+18,117944,Scl
5.408450319255986e+18,117887,Phe
6.003886271435163e+18,119613,Phe
4.150344893785683e+18,117879,Cet
4.1503360976926623e+18,117879,Cet
4.1503629626953375e+18,117879,Cet
6.003882423144386e+18,119613,Phe
2.0650860447622497e+18,117901,And
2.0650919889970412e+18,117901,And
5.40847258436166e+18,117887,Phe
6.003851980416135e+18,117923,Phe
5.408461932839835e+18,117887,Phe
2.0651025374370028e+18,117901,And
5.408446711483447e+18,117887,Phe
5.408448223311944e+18,117887,Phe
5.833504399099524e+18,117878,Tuc
5.833494984532762e+18,117878,Tuc
5.408427504388636e+18,117887,Phe
4.1503495967571133e+18,117879,Cet
5.408451315688245e+18,117887,Phe
4.1444829163362806e+18,117947,Cet
5.833488529259976e+18,117878,Tuc
6.680628222257814e+18,117923,Phe
4.464031128761845e+18,117861,Peg
5.800578909257104e+18,117954,Tuc
6.680676802630802e+18,117923,Phe
6.68058695621196e+18,117923,Phe
6.680628050459122e+18,117923,Phe
6.680691650334568e+18,117923,Phe
4.4640577575589683e+18,117861,Peg
6.680727929921497e+18,117944,Scl
4.464158564734836e+18,117861,Peg
4.464057757558968e+18,117861,Peg
6.680737898542645e+18,117944,Scl
4.650806131053579e+18,117822,Tuc
4.464018140780809e+18,117950,Peg
5.78185226770696e+18,117877,Tuc
5.781858074502877e+18,117877,Tuc
5.781855188284858e+18,117877,Tuc
5.781839004847674e+18,117877,Tuc
5.781876074704701e+18,117877,Tuc
4.464066038255914e+18,117861,Peg
5.78189194890564e+18,117877,Tuc
5.800579527732533e+18,117954,Tuc
6.680566993203797e+18,117923,Phe
6.680768581788931e+18,117944,Scl
5.781880064735522e+18,117877,Tuc
2.0651078288366047e+18,117901,And
5.408455198338471e+18,117887,Phe
4.150340392659807e+18,117879,Cet
5.408450972091007e+18,117887,Phe
5.408445921209469e+18,117887,Phe
5.408450972091008e+18,117887,Phe
2.0650923325944223e+18,117901,And
5.408431764996194e+18,117887,Phe
5.408431971154636e+18,117887,Phe
5.408451006450599e+18,117887,Phe
6.00386510583648e+18,119613,Phe
5.833489216454744e+18,117878,Tuc
1.8723235144752876e+18,117929,And
2.0216606268919076e+18,117899,Peg
1.8723264694130445e+18,117929,And
6.003885137563802e+18,119613,Phe
5.833506293246184e+18,117878,Tuc
2.0472204239349983e+18,117948,And
2.065099857377709e+18,117901,And
2.047216880563967e+18,117948,And
2.047243341882051e+18,117948,And
2.065082329611356e+18,117901,And
2.047243410601574e+18,117948,And
2.065095150093478e+18,117901,And
1.8722886393403387e+18,117929,And
2.0472190151861934e+18,117948,And
1.8723211436534912e+18,117929,And
1.8723250263040343e+18,117929,And
1.872290799697895e+18,117929,And
1.8722984619203594e+18,117929,And
4.650805924895081e+18,117822,Tuc
