source_id,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity
5807364678382940544,244.6408956139385,-69.86397745361612,7.123783400581044,-4.397685079773246,0.09083935877418342,-0.045774168456501715,12.348831,11.633818,-1.20308380470252,-0.4081639773067762
5807339462632523520,243.85774408711336,-70.26616596947768,-3.284881117211,-3.586359073305726,-0.5566355002830488,0.01814302456533862,12.748494,11.418729,0.14971912247720656,1.3374077683685934
5807365679120719488,245.11833379050609,-69.93859113773888,-1.4649322720645732,-5.321620737292105,-0.35182333837221047,-0.09115494053184202,12.30915,11.561467,-1.1311932399114497,-1.0969344633921447
2070627926954820096,307.2143663798345,44.28120636949936,-16.253280136520882,-10.170723411953102,-0.19889617052346828,0.8455416025375103,13.566245,12.285799,0.04118866611017327,-1.1039541549114666
5807366881711645824,245.02525847561785,-69.86050765157424,-3.178881770085112,-3.49936806650048,-0.635534399322663,0.6934316987912849,13.730014,12.105954,0.797333860282938,-1.7019786906470353
5807368114356774528,245.37983892090588,-69.81734017438167,-11.437375583373912,-7.504753531708991,0.6104801094209953,0.15386040839782067,12.68429,11.774176,-0.7737512946796028,0.4003644679558082
2070661736942693632,307.3466493585988,44.75867893994527,2.7591789716065565,0.5913609469876036,-0.34807490197307944,-0.8695507833105188,11.700765,10.354192,0.18670538340212922,-0.5873721499677369
4117830440852135040,262.317812303694,-21.59100317746027,0.0862176616247226,-3.949595219131856,-0.5633487715354907,1.2178275492564354,14.575611,12.582642,1.6091448339234988,-0.128930417432863
2070643728137082624,307.5756256610576,44.51918928666024,-4.7187362337381575,-38.31034652290526,1.2175655130421286,-0.023019373374928924,12.517288,11.530018,-0.6039641646254011,0.3001960205139396
5807375845297910528,244.26013570712848,-69.86902634173205,-4.349655841466059,-6.1948393775462245,-0.5633617198690296,-1.3079204090734606,11.695224,9.53479,1.9776613559379177,0.43133156132145684
5807356092753098624,243.8945544418042,-69.85251939964037,-3.335471715350601,-3.9574718964868527,-0.539893936510761,-0.29126965753162154,12.366726,11.06304,0.0923300784784649,-0.8797314922928435
5807356058393360384,243.8600840819045,-69.86096876424376,14.88576576456992,16.281436268200935,0.5737194557571519,-1.6659736300521006,10.4146595,9.714057,-1.2347961191674786,0.8536468085179949
2070657957371081984,307.2643874657681,44.57365544681581,-7.661103045310597,-12.09379130224128,-0.49591067990778065,0.6645195664088465,13.926956,11.924214,1.6306494412223766,-0.6672396223511303
