source_id,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,constellation,id,hip,hd,hr,gl,bf,proper,dist,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
6680638392740343296,306.44910289455095,-40.79655951351682,-105.38998459440216,-86.99830075972953,8.955863635455579,5.596386,6.360185,4.8232527,1.5369325,51.49246098852765,Phe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5707246108792651904,125.3384078545284,-20.07911090302895,-3.946411693044429,-10.32166560301246,5.200027084274291,5.3252306,5.7886744,4.8118305,0.97684383,-1.71377720896227,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5707264628691967104,124.84271701298204,-20.164224694048084,-7.6222332011280285,7.856955235627487,2.8394242286341767,6.643271,6.6871696,6.6131687,0.074000835,,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6791154257817212672,319.937280237577,-26.35440049652711,-591.3114573995002,-353.52953440311546,54.79023769532935,6.3878937,6.7586308,5.7822328,0.976398,-6.580648647511314,Scl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5833509346901840640,237.07190031954943,-60.475800599865465,-1.0625754864646657,-9.302365060038309,2.0317437831200063,6.7847085,8.78004,5.4858875,3.2941523,,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350231914481986944,358.4607767614585,-83.0067806991262,147.90763580650878,22.50245811326682,5.110317905155581,6.1051416,7.0906453,5.170026,1.9206195,-43.55182628996749,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210509442534399232,89.26927295848421,49.02965250961946,-3.7193193529862,-7.768900774243997,4.766168328890072,6.2791224,6.8344045,5.6332884,1.2011161,-0.2309070369330044,Cep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5877902682962174208,223.73723599662284,-61.07585690552502,-1.262009828721963,-2.959763791473712,2.154819099153526,6.250703,7.804076,5.066376,2.7377,,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5965044373908696320,257.67612801595294,-44.55797499189064,-33.536083877253006,-65.05938624466731,10.65998726032247,4.743363,5.28854,4.2507925,1.0377474,-3.89851840561278,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148730170578219136,112.76849622067076,82.41128800051798,-5.248949733675316,-42.17410691047513,6.49076221591977,3.6955898,5.171135,2.7715356,2.3995993,,UMi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4154786748987811456,278.76018373927803,-10.977229303299834,50.01133032773356,-4.585647153188425,12.220795992041625,4.836376,5.3677874,4.288954,1.0788336,7.568916391979416,Phe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340053936879395712,39.15085750462895,42.40042532978244,18.22996386240473,-23.030553973013355,4.349237498873912,6.768449,6.755214,6.836416,-0.08120155,,And,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5612170651152446976,114.03493723193291,-27.50382955988078,-3.905414781061187,3.751618983878952,0.7475488611546237,6.5703816,7.34204,5.7622776,1.5797625,31.11650178615811,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6869593898383897600,294.10875045267136,-18.85297782532715,22.269434864156835,-12.755013320444428,12.671352003014588,6.0640697,6.221569,5.8463616,0.37520742,,Phe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6059828048704248320,190.86742355992607,-58.90274486620836,-69.90462293577454,-0.7847812332864114,6.243561795217841,6.104941,6.685424,5.4302044,1.2552195,17.615290340411967,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521542065212877824,128.37611481292362,-46.97064044435025,-3.932020680609339,4.556042060599687,1.649159875201518,5.695493,6.5365777,4.8614383,1.6751394,24.315448361899428,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910125617577909376,350.47894295722017,31.812431147777147,17.85882506350227,-10.604593258164416,6.049737004454283,5.2676315,5.2952423,5.4082,-0.11295748,,And,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6658466294091929088,288.7533854898192,-48.962623368164365,18.55618814756228,4.9168153194987285,3.1804625262714348,6.4427714,7.114402,5.7003646,1.4140372,-25.615923286007806,Hyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2274327093248681088,308.8712420228403,69.67949625566855,45.734766403389855,-82.80831873845884,6.796623016022722,6.454237,6.9539824,5.853964,1.1000185,-32.021471425295886,Cep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2274443813279997312,308.1047646411439,70.53201614324118,-7.250328394923878,-17.747768949583342,3.7849760718069305,6.7428937,6.753615,6.7629843,-0.009369373,,Cep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5454019613021744128,160.8247596080354,-31.75988482933704,13.839951635398483,-38.284316431155375,6.799355439232616,6.2461123,6.8116007,5.5928674,1.2187333,1.1500984266609358,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4221176188742940544,300.54406202286424,-4.989813905318036,15.85323918565771,-7.456201548943858,6.393820324711527,6.66153,6.7658854,6.5121136,0.25377178,,Cet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
