gaia_source_id,hyg_id,constellation_x,source_id,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,constellation_y,constellation,id,hip,hd,hr,gl,bf,proper,dist,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,cluster_label
5.800594955255998e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800597600955856e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800578909257104e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800579527732533e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800603957510113e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800597222998582e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800597635315596e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800578909257098e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800594474219653e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800585643766432e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800602857998483e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800583960139089e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800580382401421e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800597841473873e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800578909257098e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
5.800587327393759e+18,117954,,,23.998594,-65.577132,48.63,-22.33,,,,,,,,Tuc,117954.0,118322.0,224686.0,9076.0,,Eps Tuc,,114.4165,11.0,4.49,-0.802,B9IV,-0.075,47.307584,-0.017275,-104.178453,-6.62e-06,2.698e-05,-1.536e-05,6.282817211942812,-1.1445368662653224,2.357648929e-07,-1.08258894e-07,Eps,,Tuc,1.0,117954.0,,182.3055960681068,,,,0
